Address of main() function: 00E312F8
Address of global var: 00E3B140
Address of local var in main(): 0038F6B8
Address of static local variable: 00E3B150
Addr of local variables (in recursive level   0): auto_y: 0038F5D4,  static_y: 00E3B154, dynamicArray: 0075A988, memory usage ( 696320), memory increment ( 696320)
Addr of local variables (in recursive level  10): auto_y: 0038DC0C,  static_y: 00E3B154, dynamicArray: 007613F8, memory usage ( 696320), memory increment (      0)
Addr of local variables (in recursive level  20): auto_y: 0038C244,  static_y: 00E3B154, dynamicArray: 007625A8, memory usage ( 716800), memory increment (  20480)
Addr of local variables (in recursive level  30): auto_y: 0038A87C,  static_y: 00E3B154, dynamicArray: 00763778, memory usage ( 720896), memory increment (   4096)
Addr of local variables (in recursive level  40): auto_y: 00388EB4,  static_y: 00E3B154, dynamicArray: 00764B00, memory usage ( 737280), memory increment (  16384)
Addr of local variables (in recursive level  50): auto_y: 003874EC,  static_y: 00E3B154, dynamicArray: 00765CD0, memory usage ( 745472), memory increment (   8192)
Addr of local variables (in recursive level  60): auto_y: 00385B24,  static_y: 00E3B154, dynamicArray: 00767058, memory usage ( 757760), memory increment (  12288)
Addr of local variables (in recursive level  70): auto_y: 0038415C,  static_y: 00E3B154, dynamicArray: 007683E0, memory usage ( 774144), memory increment (  16384)
Addr of local variables (in recursive level  80): auto_y: 00382794,  static_y: 00E3B154, dynamicArray: 007695B0, memory usage ( 778240), memory increment (   4096)
Addr of local variables (in recursive level  90): auto_y: 00380DCC,  static_y: 00E3B154, dynamicArray: 0076A938, memory usage ( 794624), memory increment (  16384)
Addr of local variables (in recursive level 100): auto_y: 0037F404,  static_y: 00E3B154, dynamicArray: 0076BB08, memory usage ( 802816), memory increment (   8192)
Addr of local variables (in recursive level 110): auto_y: 0037DA3C,  static_y: 00E3B154, dynamicArray: 0076CE90, memory usage ( 815104), memory increment (  12288)
Addr of local variables (in recursive level 120): auto_y: 0037C074,  static_y: 00E3B154, dynamicArray: 0076E218, memory usage ( 831488), memory increment (  16384)
Addr of local variables (in recursive level 130): auto_y: 0037A6AC,  static_y: 00E3B154, dynamicArray: 0076F3E8, memory usage ( 835584), memory increment (   4096)
Addr of local variables (in recursive level 140): auto_y: 00378CE4,  static_y: 00E3B154, dynamicArray: 00770770, memory usage ( 851968), memory increment (  16384)
Addr of local variables (in recursive level 150): auto_y: 0037731C,  static_y: 00E3B154, dynamicArray: 00771940, memory usage ( 860160), memory increment (   8192)
Addr of local variables (in recursive level 160): auto_y: 00375954,  static_y: 00E3B154, dynamicArray: 00772CC8, memory usage ( 872448), memory increment (  12288)
Addr of local variables (in recursive level 170): auto_y: 00373F8C,  static_y: 00E3B154, dynamicArray: 00774050, memory usage ( 888832), memory increment (  16384)
Addr of local variables (in recursive level 180): auto_y: 003725C4,  static_y: 00E3B154, dynamicArray: 00775220, memory usage ( 897024), memory increment (   8192)
Addr of local variables (in recursive level 190): auto_y: 00370BFC,  static_y: 00E3B154, dynamicArray: 007765A8, memory usage ( 909312), memory increment (  12288)
Addr of local variables (in recursive level 200): auto_y: 0036F234,  static_y: 00E3B154, dynamicArray: 00777778, memory usage ( 917504), memory increment (   8192)
Addr of local variables (in recursive level 210): auto_y: 0036D86C,  static_y: 00E3B154, dynamicArray: 00778B00, memory usage ( 929792), memory increment (  12288)
Addr of local variables (in recursive level 220): auto_y: 0036BEA4,  static_y: 00E3B154, dynamicArray: 00779CD0, memory usage ( 937984), memory increment (   8192)
Addr of local variables (in recursive level 230): auto_y: 0036A4DC,  static_y: 00E3B154, dynamicArray: 0077B058, memory usage ( 954368), memory increment (  16384)
Addr of local variables (in recursive level 240): auto_y: 00368B14,  static_y: 00E3B154, dynamicArray: 0077C3E0, memory usage ( 966656), memory increment (  12288)
Addr of local variables (in recursive level 250): auto_y: 0036714C,  static_y: 00E3B154, dynamicArray: 0077D5B0, memory usage ( 974848), memory increment (   8192)
Addr of local variables (in recursive level 260): auto_y: 00365784,  static_y: 00E3B154, dynamicArray: 0077E938, memory usage ( 987136), memory increment (  12288)
Addr of local variables (in recursive level 270): auto_y: 00363DBC,  static_y: 00E3B154, dynamicArray: 0077FB08, memory usage ( 995328), memory increment (   8192)
Addr of local variables (in recursive level 280): auto_y: 003623F4,  static_y: 00E3B154, dynamicArray: 00780E90, memory usage (1011712), memory increment (  16384)
Addr of local variables (in recursive level 290): auto_y: 00360A2C,  static_y: 00E3B154, dynamicArray: 00782218, memory usage (1024000), memory increment (  12288)
Addr of local variables (in recursive level 300): auto_y: 0035F064,  static_y: 00E3B154, dynamicArray: 007833E8, memory usage (1032192), memory increment (   8192)
Addr of local variables (in recursive level 310): auto_y: 0035D69C,  static_y: 00E3B154, dynamicArray: 00784770, memory usage (1052672), memory increment (  20480)
Addr of local variables (in recursive level 320): auto_y: 0035BCD4,  static_y: 00E3B154, dynamicArray: 00785940, memory usage (1060864), memory increment (   8192)
Addr of local variables (in recursive level 330): auto_y: 0035A30C,  static_y: 00E3B154, dynamicArray: 00786B10, memory usage (1069056), memory increment (   8192)
Addr of local variables (in recursive level 340): auto_y: 00358944,  static_y: 00E3B154, dynamicArray: 00787CE0, memory usage (1073152), memory increment (   4096)
